Size,Classical Jacobi,Cyclic Jacobi,,Bisection,
,Execution time,Execution time,Speedup,Execution time,Speedup
50,8.817,4.189,2.105,1.084,8.132
100,82.845,26.696,3.103,2.819,29.393
200,1340.239,208.239,6.436,7.845,170.833
500,35269.687,5085.778,6.935,34.520,1021.717
1000,,,,119.494,
2000,,,,418.566,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
